Provinsi,Sekolah,Siswa Baru,Siswa,Mengulang,Putus Sekolah,Lulusan,KS dan Guru,Tng Kependidikan,Rombel,Ruang Kelas,Laboratorium,Perpustakaan,UKS
Aceh,217,18325,55508,652,258,17287,6728,1505,2518,2852,423,228,61
Bali,165,31243,97802,37,29,32904,6057,1375,3161,2948,264,164,86
Bangka Belitung,58,9242,26689,83,13,7468,1786,493,875,1038,140,55,31
Banten,727,83188,259900,632,339,84788,12999,2275,8663,9328,1196,678,210
Bengkulu,105,11213,32035,60,168,9122,3022,579,1299,1497,175,109,43
DI Yogyakarta,216,28920,88225,194,41,29497,7310,1752,3278,3447,496,233,169
DKI Jakarta,580,73979,224969,572,2066,73303,12725,2662,7164,8436,1128,598,322
Gorontalo,56,6453,19712,188,100,5593,1914,287,841,932,130,54,25
Jambi,176,18107,54319,328,94,16863,4446,897,2114,2345,289,185,70
Jawa Barat,2898,375863,1135305,2201,1659,357808,59518,11695,38134,40630,4782,2747,991
Jawa Tengah,1555,265987,797330,1291,687,253660,47996,9927,26748,27156,3970,1614,953
Jawa Timur,2103,262935,786224,2697,1258,241300,45729,7959,27266,26971,3837,1962,934
Kalimantan Barat,221,27430,78963,284,134,21735,4526,523,2698,2709,414,204,101
Kalimantan Selatan,126,19870,59717,211,112,18626,3943,817,2057,2020,235,112,72
Kalimantan Tengah,135,12394,37328,189,149,10740,3059,314,1450,1549,207,120,50
Kalimantan Timur,216,26446,81135,534,186,24216,5119,1058,2937,3311,386,224,112
Kalimantan Utara,29,3524,10066,10,16,2888,877,194,367,442,70,26,10
Kepulauan Riau,109,11907,33826,141,18,10149,2564,489,1312,1526,213,108,43
Lampung,484,52205,153216,253,193,46630,11126,1837,5627,5887,755,439,183
Maluku,113,7329,22822,106,122,7390,2563,323,1088,1224,178,118,26
Maluku Utara,139,5937,18490,117,84,6192,2072,227,945,1243,182,115,5
Nusa Tenggara Barat,317,27643,82138,550,393,23533,7374,1270,3172,3153,371,263,53
Nusa Tenggara Timur,292,36253,100414,287,316,27858,7814,832,3779,4053,516,295,70
Papua,136,11738,35687,788,226,10059,3067,429,1458,1638,261,125,23
Papua Barat,54,5729,16023,222,99,4351,1315,116,676,690,115,44,11
Riau,293,35659,105400,156,164,31503,8232,1293,3979,4474,525,268,118
Sulawesi Barat,133,8960,28898,158,83,8639,2337,718,1189,1279,144,110,17
Sulawesi Selatan,419,45309,137540,774,743,43951,10369,1568,5454,6110,822,393,124
Sulawesi Tengah,184,15135,46259,201,132,14737,4027,597,1927,2336,268,173,37
Sulawesi Tenggara,157,12809,36834,237,164,10633,3458,297,1649,1884,268,146,33
Sulawesi Utara,184,17364,53090,342,335,16111,4293,486,2446,2652,275,171,48
Sumatera Barat,211,32994,94266,1002,251,27898,7896,1274,3493,3445,477,231,88
Sumatera Selatan,294,41812,125183,397,295,37258,7927,1474,4195,4109,511,275,144
Sumatera Utara,975,109718,323113,537,3024,97582,21792,2203,11464,13215,1692,941,252
